食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
アマランサス　玄穀,343,13.5,12.7,6,64.9,0
あわ　精白粒,346,13.3,11.2,4.4,69.7,0
あわ　あわもち,210,48,5.1,1.3,45.3,0
えんばく　オートミール,350,10,13.7,5.7,69.1,0
おおむぎ　七分つき押麦,343,14,10.9,2.1,72.1,0
おおむぎ　押麦　乾,329,12.7,6.7,1.5,78.3,0
おおむぎ　押麦　めし,118,68.6,2.2,0.5,28.5,0
おおむぎ　米粒麦,333,14,7,2.1,76.2,0
おおむぎ　大麦めん　乾,343,14,12.9,1.7,68,2.8
おおむぎ　大麦めん　ゆで,121,70,4.8,0.6,24.3,0.2
おおむぎ　麦こがし,368,3.5,12.5,5,77.1,0
キヌア　玄穀,344,12.2,13.4,3.2,69,0.1
きび　精白粒,353,13.8,11.3,3.3,70.9,0
こむぎ　［玄穀］　国産　普通,329,12.5,10.8,3.1,72.1,0
こむぎ　［玄穀］　輸入　軟質,344,10,10.1,3.3,75.2,0
こむぎ　［玄穀］　輸入　硬質,332,13,13,3,69.4,0
こむぎ　［小麦粉］　薄力粉　1等,349,14,8.3,1.5,75.8,0
こむぎ　［小麦粉］　薄力粉　2等,345,14,9.3,1.9,74.3,0
こむぎ　［小麦粉］　中力粉　1等,337,14,9,1.6,75.1,0
こむぎ　［小麦粉］　中力粉　2等,346,14,9.7,1.8,74,0
こむぎ　［小麦粉］　強力粉　1等,337,14.5,11.8,1.5,71.7,0
こむぎ　［小麦粉］　強力粉　2等,343,14.5,12.6,1.7,70.6,0
こむぎ　［小麦粉］　強力粉　全粒粉,320,14.5,12.8,2.9,68.2,0
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,9.8,10.1,1.9,73.6,3.7
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,11.1,7.8,4,74.4,1
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,8.3,10.2,1.2,70,9.7
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,12.4,8.8,1.3,76.1,0.5
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132,65.5,3.3,0.5,30.2,0.2
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,10.2,4.3,47.7,37,0.2
こむぎ　［パン類］　角形食パン　食パン,248,39.2,8.9,4.1,46.4,1.2
こむぎ　［パン類］　角形食パン　焼き,269,33.6,9.7,4.5,50.6,1.3
こむぎ　［パン類］　角形食パン　耳を除いたもの,226,44.2,8.2,3.7,42.6,1.1
こむぎ　［パン類］　角形食パン　耳,273,33.5,9.7,4.5,50.8,1.3
こむぎ　［パン類］　食パン　リーンタイプ,246,39.2,8,3.7,47.5,1.3
